Area Name	SOC Code	SOC Title	Employment 
Connecticut	00-0000	Total all occupations	1,631,510
Connecticut	11-0000	Management Occupations	139,660
Connecticut	Nov-12	Administrative Services Managers	2,150
Connecticut	Nov-11	Advertising and Promotions Managers	340
Connecticut	Nov-41	Architectural and Engineering Managers	3,790
Connecticut	11-1011	Chief Executives	510
Connecticut	Nov-11	Compensation and Benefits Managers	210
Connecticut	Nov-21	Computer and Information Systems Managers	9,750
Connecticut	Nov-21	Construction Managers	2,000
Connecticut	Nov-39	Education Administrators, All Other	590
Connecticut	Nov-32	Education Administrators, Kindergarten through Secondary	4,300
Connecticut	Nov-33	Education Administrators, Postsecondary	2,010
Connecticut	Nov-31	Education and Childcare Administrators, Preschool and Daycare	980
Connecticut	Nov-61	Emergency Management Directors	170
Connecticut	Nov-72	Entertainment and Recreation Managers, Except Gambling	70
Connecticut	Nov-13	Facilities Managers	2,360
Connecticut	Nov-13	Farmers, Ranchers, and Other Agricultural Managers	20
Connecticut	Nov-31	Financial Managers	19,540
Connecticut	Nov-51	Food Service Managers	1,520
Connecticut	Nov-33	Fundraising Managers	650
Connecticut	Nov-71	Funeral Home Managers	180
Connecticut	11-1021	General and Operations Managers	42,090
Connecticut	Nov-21	Human Resources Managers	3,440
Connecticut	Nov-51	Industrial Production Managers	2,730
Connecticut	11-1031	Legislators	210
Connecticut	Nov-81	Lodging Managers	170
Connecticut	Nov-99	Managers, All Other	5,090
Connecticut	Nov-21	Marketing Managers	6,010
Connecticut	Nov-11	Medical and Health Services Managers	6,810
Connecticut	Nov-31	Postmasters and Mail Superintendents	160
Connecticut	Nov-41	Property, Real Estate, and Community Association Managers	2,950
Connecticut	Nov-32	Public Relations Managers	870
Connecticut	Nov-61	Purchasing Managers	1,510
Connecticut	Nov-22	Sales Managers	9,030
Connecticut	Nov-51	Social and Community Service Managers	3,950
Connecticut	Nov-31	Training and Development Managers	650
Connecticut	Nov-71	Transportation, Storage, and Distribution Managers	1,900
Connecticut	13-0000	Business and Financial Operations Occupations	99,590
Connecticut	13-2011	Accountants and Auditors	15,960
Connecticut	13-2031	Budget Analysts	770
Connecticut	13-1199	Business Operations Specialists, All Other	5,440
Connecticut	13-1020	Buyers and Purchasing Agents	6,570
Connecticut	13-1031	Claims Adjusters, Examiners, and Investigators	3,220
Connecticut	13-1141	Compensation, Benefits, and Job Analysis Specialists	1,150
Connecticut	13-1041	Compliance Officers	3,590
Connecticut	13-1051	Cost Estimators	2,120
Connecticut	13-2041	Credit Analysts	730
Connecticut	13-2071	Credit Counselors	150
Connecticut	13-2051	Financial and Investment Analysts	5,860
Connecticut	13-2061	Financial Examiners	240
Connecticut	13-2054	Financial Risk Specialists	530
Connecticut	13-2099	Financial Specialists, All Other	470
Connecticut	13-1131	Fundraisers	990
Connecticut	13-1071	Human Resources Specialists	8,380
Connecticut	13-1032	Insurance Appraisers, Auto Damage	60
Connecticut	13-2053	Insurance Underwriters	2,520
Connecticut	13-1075	Labor Relations Specialists	1,120
Connecticut	13-2072	Loan Officers	2,770
Connecticut	13-1081	Logisticians	1,600
Connecticut	13-1111	Management Analysts	9,510
Connecticut	13-1161	Market Research Analysts and Marketing Specialists	8,190
Connecticut	13-1121	Meeting, Convention, and Event Planners	1,370
Connecticut	13-2052	Personal Financial Advisors	3,520
Connecticut	13-1082	Project Management Specialists	7,240
Connecticut	13-2020	Property Appraisers and Assessors	510
Connecticut	13-2081	Tax Examiners and Collectors, and Revenue Agents	890
Connecticut	13-2082	Tax Preparers	610
Connecticut	13-1151	Training and Development Specialists	3,480
Connecticut	15-0000	Computer and Mathematical Occupations	48,730
Connecticut	15-2011	Actuaries	1,220
Connecticut	15-1221	Computer and Information Research Scientists	60
Connecticut	15-1241	Computer Network Architects	1,760
Connecticut	15-1231	Computer Network Support Specialists	420
Connecticut	15-1299	Computer Occupations, All Other	850
Connecticut	15-1251	Computer Programmers	2,490
Connecticut	15-1211	Computer Systems Analysts	6,430
Connecticut	15-1232	Computer User Support Specialists	9,140
Connecticut	15-2051	Data Scientists	950
Connecticut	15-1242	Database Administrators	890
Connecticut	15-1243	Database Architects	640
Connecticut	15-1212	Information Security Analysts	1,450
Connecticut	15-2099	Mathematical Science Occupations, All Other	40
Connecticut	15-1244	Network and Computer Systems Administrators	1,880
Connecticut	15-2031	Operations Research Analysts	910
Connecticut	15-1252	Software Developers	16,200
Connecticut	15-1253	Software Quality Assurance Analysts and Testers	1,200
Connecticut	15-2041	Statisticians	500
Connecticut	15-1255	Web and Digital Interface Designers	990
Connecticut	15-1254	Web Developers	710
Connecticut	17-0000	Architecture and Engineering Occupations	33,470
Connecticut	17-3021	Aerospace Engineering and Operations Technologists and Technicians	100
Connecticut	17-2011	Aerospace Engineers	1,160
Connecticut	17-1011	Architects, Except Landscape and Naval	1,110
Connecticut	17-3011	Architectural and Civil Drafters	1,170
Connecticut	17-2031	Bioengineers and Biomedical Engineers	160
Connecticut	17-3028	Calibration Technologists and Technicians	40
Connecticut	17-1021	Cartographers and Photogrammetrists	80
Connecticut	17-2041	Chemical Engineers	230
Connecticut	17-3022	Civil Engineering Technologists and Technicians	180
Connecticut	17-2051	Civil Engineers	3,750
Connecticut	17-2061	Computer Hardware Engineers	640
Connecticut	17-3019	Drafters, All Other	120
Connecticut	17-3023	Electrical and Electronic Engineering Technologists and Technicians	1,240
Connecticut	17-3012	Electrical and Electronics Drafters	460
Connecticut	17-2071	Electrical Engineers	2,540
Connecticut	17-3024	Electro-Mechanical and Mechatronics Technologists and Technicians	90
Connecticut	17-2072	Electronics Engineers, Except Computer	1,690
Connecticut	17-3029	Engineering Technologists and Technicians, Except Drafters, All Other	440
Connecticut	17-2199	Engineers, All Other	2,230
Connecticut	17-3025	Environmental Engineering Technologists and Technicians	170
Connecticut	17-2081	Environmental Engineers	390
Connecticut	17-2111	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors	140
Connecticut	17-3026	Industrial Engineering Technologists and Technicians	1,110
Connecticut	17-2112	Industrial Engineers	6,090
Connecticut	17-1012	Landscape Architects	510
Connecticut	17-2131	Materials Engineers	320
Connecticut	17-3013	Mechanical Drafters	550
Connecticut	17-3027	Mechanical Engineering Technologists and Technicians	220
Connecticut	17-2141	Mechanical Engineers	3,850
Connecticut	17-2171	Petroleum Engineers	10
Connecticut	17-3031	Surveying and Mapping Technicians	410
Connecticut	17-1022	Surveyors	480
Connecticut	19-0000	Life, Physical, and Social Science Occupations	12,040
Connecticut	19-4012	Agricultural Technicians	20
Connecticut	19-3091	Anthropologists and Archeologists	90
Connecticut	19-1021	Biochemists and Biophysicists	370
Connecticut	19-1029	Biological Scientists, All Other	350
Connecticut	19-4021	Biological Technicians	930
Connecticut	19-4031	Chemical Technicians	600
Connecticut	19-2031	Chemists	1,160
Connecticut	19-3033	Clinical and Counseling Psychologists	530
Connecticut	19-1031	Conservation Scientists	100
Connecticut	19-3011	Economists	160
Connecticut	19-4042	Environmental Science and Protection Technicians, Including Health	130
Connecticut	19-2041	Environmental Scientists and Specialists, Including Health	790
Connecticut	19-1041	Epidemiologists	140
Connecticut	19-1012	Food Scientists and Technologists	N/A
Connecticut	19-4092	Forensic Science Technicians	100
Connecticut	19-4071	Forest and Conservation Technicians	30
Connecticut	19-1032	Foresters	80
Connecticut	19-2042	Geoscientists, Except Hydrologists and Geographers	N/A
Connecticut	19-3093	Historians	60
Connecticut	19-2043	Hydrologists	20
Connecticut	19-1099	Life Scientists, All Other	120
Connecticut	19-4099	Life, Physical, and Social Science Technicians, All Other	370
Connecticut	19-2032	Materials Scientists	60
Connecticut	19-1042	Medical Scientists, Except Epidemiologists	1,730
Connecticut	19-1022	Microbiologists	110
Connecticut	19-5011	Occupational Health and Safety Specialists	1,030
Connecticut	19-5012	Occupational Health and Safety Technicians	80
Connecticut	19-2099	Physical Scientists, All Other	90
Connecticut	19-2012	Physicists	60
Connecticut	19-3039	Psychologists, All Other	210
Connecticut	19-3034	School Psychologists	990
Connecticut	19-4061	Social Science Research Assistants	110
Connecticut	19-3099	Social Scientists and Related Workers, All Other	180
Connecticut	19-1013	Soil and Plant Scientists	100
Connecticut	19-3022	Survey Researchers	280
Connecticut	19-3051	Urban and Regional Planners	370
Connecticut	19-1023	Zoologists and Wildlife Biologists	80
Connecticut	21-0000	Community and Social Service Occupations	33,960
