Area Code,Area Name,SOC Code,SOC Title,Employment ,Median,,Mean,,Entry Level,,10th Percentile,,90th Percentile,
000009,Connecticut,00-0000,Total all occupations,"1,631,510",25.76,"53,560",34.47,"71,692",16.17,"33,617",14.7,"30,566",62.87,"130,765"
000009,Connecticut,11-0000,Management Occupations,"139,660",63.05,"131,133",70.88,"147,430",36.08,"75,051",30.71,"63,884",114.88,"238,952"
000009,Connecticut,11-3013,Administrative Services Managers,"2,150",60.14,"125,106",63.71,"132,510",39.8,"82,792",37.48,"77,958",96.57,"200,860"
000009,Connecticut,11-2011,Advertising and Promotions Managers,340,75.48,"156,996",77.98,"162,198",35.27,"73,358",28.04,"58,315",>115.00,">239,200"
000009,Connecticut,11-9041,Architectural and Engineering Managers,"3,790",78.23,"162,718",78.04,"162,320",53.79,"111,878",49.89,"103,780",106.01,"220,503"
000009,Connecticut,11-1011,Chief Executives,510,101.43,"210,977",135.18,"281,164",56.94,"118,425",43.69,"90,869",>115.00,">239,200"
000009,Connecticut,11-3111,Compensation and Benefits Managers,210,73.01,"151,867",79.42,"165,186",52.11,"108,390",47.9,"99,640",>115.00,">239,200"
000009,Connecticut,11-3021,Computer and Information Systems Managers,"9,750",73.13,"152,111",76.41,"158,924",50.35,"104,729",47.96,"99,762",105.99,"220,462"
000009,Connecticut,11-9021,Construction Managers,"2,000",54.47,"113,285",57.92,"120,455",37.46,"77,907",34.4,"71,543",81.02,"168,521"
000009,Connecticut,11-9039,"Education Administrators, All Other",590,47.74,"99,303",49.78,"103,536",26.75,"55,633",22.61,"47,025",79.97,"166,318"
000009,Connecticut,11-9032,"Education Administrators, Kindergarten through Secondary","4,300",N/A,"139,496",N/A,"141,994",N/A,"97,304",N/A,"81,680",N/A,"177,485"
000009,Connecticut,11-9033,"Education Administrators, Postsecondary","2,010",52.93,"110,093",62.78,"130,592",34.61,"71,992",30.52,"63,486",104.22,"216,770"
000009,Connecticut,11-9031,"Education and Childcare Administrators, Preschool and Daycare",980,28.24,"58,744",29.97,"62,344",19.92,"41,416",18.47,"38,408",45.77,"95,193"
000009,Connecticut,11-9161,Emergency Management Directors,170,47.08,"97,916",49.18,"102,281",32.36,"67,310",28.01,"58,264",71.15,"147,991"
000009,Connecticut,11-9071,"Entertainment and Recreation Managers, Except Gambling",70,35,"72,807",32.61,"67,841",17.2,"35,797",17.01,"35,379",53.09,"110,430"
000009,Connecticut,11-3013,Facilities Managers,"2,360",48.69,"101,261",52.17,"108,502",31,"64,485",28.09,"58,417",80.66,"167,786"
000009,Connecticut,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",20,42.86,"89,156",41.72,"86,769",31.75,"66,025",30.12,"62,639",45.55,"94,734"
000009,Connecticut,11-3031,Financial Managers,"19,540",77.39,"160,953",82.98,"172,590",47.98,"99,803",42.98,"89,400",>115.00,">239,200"
000009,Connecticut,11-9051,Food Service Managers,"1,520",35.52,"73,888",36,"74,888",21.6,"44,935",18.71,"38,918",49.14,"102,200"
000009,Connecticut,11-2033,Fundraising Managers,650,51.72,"107,574",64.21,"133,560",35.55,"73,950",32.32,"67,219",>115.00,">239,200"
000009,Connecticut,11-9061,Funeral Home Managers,180,47.66,"99,120",50.18,"104,362",36.16,"75,214",31.43,"65,383",73.45,"152,764"
000009,Connecticut,11-1021,General and Operations Managers,"42,090",59.74,"124,259",74,"153,927",32.3,"67,178",28.09,"58,427",>115.00,">239,200"
000009,Connecticut,11-3121,Human Resources Managers,"3,440",65.13,"135,457",71.86,"149,470",42.11,"87,575",38.34,"79,742",111.59,"232,119"
000009,Connecticut,11-3051,Industrial Production Managers,"2,730",60.08,"124,963",61.7,"128,328",41.7,"86,728",38.12,"79,294",84.67,"176,108"
000009,Connecticut,11-1031,Legislators,210,N/A,"37,459",N/A,"43,629",N/A,"33,910",N/A,"33,135",N/A,"43,170"
000009,Connecticut,11-9081,Lodging Managers,170,41.7,"86,728",45.98,"95,632",30.6,"63,639",27.77,"57,765",64.73,"134,631"
000009,Connecticut,11-9199,"Managers, All Other","5,090",64.99,"135,172",71.65,"149,042",43.02,"89,472",39.98,"83,149",105.09,"218,585"
000009,Connecticut,11-2021,Marketing Managers,"6,010",70.27,"146,155",78.61,"163,513",46.67,"97,070",41.68,"86,698",112.31,"233,608"
000009,Connecticut,11-9111,Medical and Health Services Managers,"6,810",53.93,"112,174",67.8,"141,025",39.31,"81,752",37.69,"78,396",>115.00,">239,200"
000009,Connecticut,11-9131,Postmasters and Mail Superintendents,160,41.31,"85,933",42.24,"87,871",36.22,"75,316",36.89,"76,724",49.08,"102,077"
000009,Connecticut,11-9141,"Property, Real Estate, and Community Association Managers","2,950",33.15,"68,942",38.96,"81,027",23.88,"49,667",22.92,"47,658",65.3,"135,814"
000009,Connecticut,11-2032,Public Relations Managers,870,63.38,"131,837",67.71,"140,832",36.63,"76,204",31.22,"64,944",105.45,"219,340"
000009,Connecticut,11-3061,Purchasing Managers,"1,510",62.98,"131,000",66.78,"138,904",43.69,"90,869",40.01,"83,220",99.99,"207,969"
000009,Connecticut,11-2022,Sales Managers,"9,030",63.2,"131,469",70.61,"146,890",40.69,"84,638",37.08,"77,121",108.8,"226,306"
000009,Connecticut,11-9151,Social and Community Service Managers,"3,950",30.39,"63,221",34.33,"71,400",23.11,"48,056",23.1,"48,045",50.11,"104,209"
000009,Connecticut,11-3131,Training and Development Managers,650,64.44,"134,029",68.44,"142,372",45.86,"95,387",42.02,"87,391",97.65,"203,124"
000009,Connecticut,11-3071,"Transportation, Storage, and Distribution Managers","1,900",57.28,"119,139",61.33,"127,563",34.8,"72,369",30.95,"64,373",86.35,"179,617"
000009,Connecticut,13-0000,Business and Financial Operations Occupations,"99,590",39.65,"82,465",44.16,"91,858",26.16,"54,419",23.77,"49,443",65.79,"136,844"
000009,Connecticut,13-2011,Accountants and Auditors,"15,960",39.43,"82,006",42.97,"89,360",28.53,"59,325",26.75,"55,633",63.6,"132,275"
000009,Connecticut,13-2031,Budget Analysts,770,41.24,"85,780",42.55,"88,493",32.57,"67,759",31.8,"66,148",54.95,"114,295"
000009,Connecticut,13-1199,"Business Operations Specialists, All Other","5,440",40.62,"84,495",43.6,"90,685",28.3,"58,876",25.89,"53,859",63.5,"132,081"
000009,Connecticut,13-1020,Buyers and Purchasing Agents,"6,570",37.4,"77,784",37.91,"78,845",23.84,"49,585",21.68,"45,108",55.49,"115,417"
000009,Connecticut,13-1031,"Claims Adjusters, Examiners, and Investigators","3,220",39.9,"82,986",44.19,"91,909",29.55,"61,446",28.84,"59,988",62.75,"130,511"
000009,Connecticut,13-1141,"Compensation, Benefits, and Job Analysis Specialists","1,150",36,"74,878",36.54,"76,000",19.48,"40,509",15.52,"32,299",57.85,"120,322"
000009,Connecticut,13-1041,Compliance Officers,"3,590",39.91,"83,006",43.5,"90,461",27.5,"57,183",24.78,"51,554",64.11,"133,346"
000009,Connecticut,13-1051,Cost Estimators,"2,120",38.81,"80,711",41.38,"86,066",26.64,"55,419",24.88,"51,758",61.72,"128,389"
000009,Connecticut,13-2041,Credit Analysts,730,38.86,"80,813",44.77,"93,123",26.73,"55,602",23.79,"49,483",77.16,"160,505"
000009,Connecticut,13-2071,Credit Counselors,150,23.84,"49,606",26.67,"55,470",20.1,"41,824",19.79,"41,141",37.96,"78,957"
000009,Connecticut,13-2051,Financial and Investment Analysts,"5,860",49.4,"102,740",56.09,"116,671",34.53,"71,818",32.19,"66,943",84.42,"175,609"
